track_album_id,album_name,artist,featured_artist_album,featured_artist_track_mean,duration_album,duration_track_mean,danceability_mean,energy_mean,key_mode,loudness_mean,mode_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,time_signature_mean,avaliable_markets,explicit_tracks,track_popularity,release_date,release_date_precision
3CwGxaRLRyEw6OiSbVhdRE,Genius Loves Company,Ray Charles,12,1,3097549,258129.08333333334,0.49291666666666667,0.42275,10,-9.725916666666667,1,0.0663,0.605,9.260583333333333e-4,0.18161666666666668,0.37059166666666665,121.05075,4,185,0,42.833333333333336,2004,day
3Dxca4qkrQuwU4Fcix3l1a,Lost Highway,Bon Jovi,1,0.08333333333333333,2985462,248788.5,0.5173333333333333,0.6813333333333333,7,-5.716916666666666,1,0.034791666666666665,0.0159841,5.774008333333334e-4,0.1517,0.40825,118.32033333333334,4,184,0,31.25,2007,day
3E7Sj3kKbxY1Tsp7U0SKQi,Hourglass,James Taylor,0,0,3222089,247853,0.5933846153846154,0.3523846153846154,4,-12.923307692307691,1,0.037153846153846155,0.5335846153846153,0.018865566153846155,0.13406153846153845,0.3479846153846154,121.08815384615384,4,185,0,20.692307692307693,1997,day
3EENJDWJPxeM0YVBX76dUM,I Love Everybody,Lyle Lovett,0,0,3182888,176827.11111111112,0.5945555555555555,0.21319444444444444,3,-17.103166666666667,1,0.06167222222222222,0.48957222222222224,0.0010590105555555555,0.18845555555555554,0.47644444444444445,108.246,4,185,0,11.722222222222221,1994,day
3EZXmJz03Dj8sB3K26Gmx8,A Few Small Repairs,Shawn Colvin,0,0,3068340,255695,0.5714166666666667,0.48675,1,-9.85075,1,0.033175,0.538,0.0378808525,0.13250833333333334,0.4555,121.74758333333334,4,183,0,19,1996,day
3MXU6UoWrf4w4bOvjZTlvY,The Lady Killer,CeeLo Green,1,0.07142857142857142,2756409,196886.35714285713,0.5365,0.7972857142857143,4,-5.079857142857143,1,0.06380714285714285,0.049558514285714284,0.08138109285714286,0.24407142857142858,0.5055000000000001,117.65621428571428,4,3,2,25.928571428571427,2010,day
3RDqXDc1bAETps54MSSOW0,Bangerz (Deluxe Version),Miley Cyrus,6,0.375,3667621,229226.3125,0.701875,0.655375,0,-5.816,1,0.0553,0.12602,4.3522499999999995e-5,0.1895875,0.5090625,127.79537499999999,4,185,8,49.3125,2013,day
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),Ed Sheeran,0,0,3573926,223370.375,0.6610625,0.5785,7,-5.6229375,1,0.06776875,0.3822875,7.125e-7,0.14038125,0.5854375,105.5390625,4,184,0,66.8125,2017,day
3XsOzkIBoHsxZ7jP3QF2oB,New Beginning,Tracy Chapman,0,0,3735490,339590,0.526090909090909,0.3256818181818182,9,-12.830818181818183,1,0.03369090909090909,0.6359090909090909,0.016965416363636365,0.11738181818181818,0.4258181818181818,130.34036363636363,4,184,0,40.90909090909091,1995,day
3e3PxWKqv7lyZaR5d02abW,Music,Madonna,0,0,2680143,268014.3,0.6404,0.6101,7,-8.7747,1,0.04793,0.0757021,0.07085315,0.13351,0.4915,118.4284,4,1,0,27.4,2000,day
3euz4vS7ezKGnNSwgyvKcd,Positions,Ariana Grande,3,0.21428571428571427,2474059,176718.5,0.6586428571428571,0.5786428571428571,0,-6.116714285714286,1,0.09860714285714287,0.27054285714285714,1.3392857142857143e-6,0.15068571428571428,0.4406857142857143,121.88878571428572,4,184,9,63.642857142857146,2020,day
3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,Sabrina Carpenter,0,0,2175884,181323.66666666666,0.6409166666666667,0.6435833333333333,5,-6.502916666666667,1,0.05495,0.3117416666666667,4.561e-5,0.184275,0.5451666666666667,102.67658333333333,4,183,7,83.91666666666667,2024,day
3ibdlhMmbFPMYoWvwHCzI3,The Fray,The Fray,0,0,2584145,258414.5,0.4062,0.6387,1,-7.4113,1,0.03481,0.20169299999999998,0.004556868,0.15299,0.34809999999999997,137.8147,4,185,0,45.7,2009,day
3jB9yFDwRe3KhtGnHXJntk,PRISM,Katy Perry,1,0.07692307692307693,2924962,224997.07692307694,0.6153846153846154,0.691,7,-5.534692307692308,1,0.051638461538461536,0.1282023076923077,8.484615384615384e-7,0.1484923076923077,0.47746153846153844,116.55607692307692,4,184,0,50.69230769230769,2013,day
3lng6RAtdksQ2q02Fk5jaB,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,0,0,3985408,265693.86666666664,0.7790666666666667,0.6603333333333333,0,-6.841933333333333,0,0.11087999999999999,0.095948,0.009863186666666666,0.30173333333333335,0.5508,122.04806666666667,4,184,3,46.06666666666667,2009,day
3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,Ed Sheeran,22,1.4666666666666666,2995806,199720.4,0.7134,0.6596,8,-6.3449333333333335,1,0.13488,0.22709633333333334,7.20818e-4,0.21799333333333334,0.6246666666666667,105.55633333333333,4,185,3,57.266666666666666,2019,day
